fecha,campaña,impresiones,clicks,costo,conversiones,ctr_pct,cpc,costo_por_lead
2026-04-22,Biotica N2 - Búsqueda,2,0,0.0,0.0,0.0,0.0,
2026-04-23,Biotica N2 - Búsqueda,461,7,3819.891773,0.0,1.5184381778741864,545.6988247142857,
2026-04-24,Biotica N2 - Búsqueda,901,4,2373.836547,0.0,0.4439511653718091,593.45913675,
2026-04-25,Biotica N2 - Búsqueda,1091,5,2166.332532,0.0,0.458295142071494,433.26650639999997,
2026-04-26,Biotica N2 - Búsqueda,1316,7,3632.350491,0.0,0.5319148936170213,518.907213,
2026-04-27,Biotica N2 - Búsqueda,705,5,1790.69,1.0,0.7092198581560284,358.138,1790.69
2026-04-28,Biotica N2 - Búsqueda,303,5,1469.954572,0.0,1.65016501650165,293.99091439999995,
2026-04-29,Biotica N2 - Búsqueda,743,5,1513.85,0.0,0.6729475100942126,302.77,
2026-04-30,Biotica N2 - Búsqueda,587,5,1154.81,0.0,0.8517887563884157,230.962,
2026-05-01,Biotica N2 - Búsqueda,898,9,2052.01,0.0,1.0022271714922049,228.0011111111111,
2026-05-02,Biotica N2 - Búsqueda,68,0,0.0,0.0,0.0,0.0,
2026-05-03,Biotica N2 - Búsqueda,237,5,2807.482905,0.0,2.109704641350211,561.496581,
2026-05-04,Biotica N2 - Búsqueda,198,0,0.0,0.0,0.0,0.0,
2026-05-05,Biotica N2 - Búsqueda,190,3,3978.6,0.0,1.5789473684210527,1326.2,
2026-05-06,Biotica N2 - Búsqueda,127,3,3849.42,0.0,2.3622047244094486,1283.14,
2026-05-07,Biotica N2 - Búsqueda,159,3,2609.12,0.0,1.8867924528301887,869.7066666666666,
2026-05-08,Biotica N2 - Búsqueda,228,2,1590.72,0.0,0.8771929824561403,795.36,
2026-05-09,Biotica N2 - Búsqueda,17,2,2307.85,0.0,11.76470588235294,1153.925,
2026-05-10,Biotica N2 - Búsqueda,43,1,998.53,0.0,2.3255813953488373,998.53,
2026-05-11,Biotica N2 - Búsqueda,102,1,158.39,0.0,0.9803921568627451,158.39,
2026-05-12,Biotica N2 - Búsqueda,68,3,3985.25,1.0,4.411764705882353,1328.4166666666667,3985.25
